MMV,Make,Model,Variant,Type,Transmission,Fuel Type,Age,No of Owners,Color,Health Score,Price Score,Distance,On Road Price,Current Price,Dep
MazdaRX20Laputa 1.2 (O),Mazda,RX20,Laputa 1.2 (O),Hatchback,Manual,Petrol,6,1,White,4.3,5.2,"51,336",608104,310800,48.9
MitsubishiEclipse 1.0LXi,Mitsubishi,Eclipse 1.0,LXi,Hatchback,Manual,Petrol,7,1,White,5.3,4,"83,000",490492,229008,53.3
NissanMaxima1.5 S AT,Nissan,Maxima,1.5 S AT,Sedan,Automatic,Petrol,9,1,Red,5,9.4,"44,000",1041562,287950,72.4
MitsubishiSx4VXi,Mitsubishi,Sx4,VXi,Sedan,Manual,Petrol,9,1,White,4.5,7.8,"47,000",750204,201520,73.1
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,11,2,other,6.8,4.2,"47,546",563323,310800,44.8
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,10,1,Red,5.6,4.8,"46,278",563323,220000,60.9
NissanMaxima1.5 V AT,Nissan,Maxima,1.5 V AT,Sedan,Automatic,Petrol,8,1,White,6.7,8.8,"49,000",1139496,473550,58.4
NissanKicks1.8Mt,Nissan,Kicks,1.8Mt,Hatchback,Manual,Petrol,10,2,White,6.1,9.9,"90,321",1402739,200640,85.7
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,11,1,Black,6.8,7.8,"54,367",837628,265200,68.3
NissanMaxima1.5 V AT,Nissan,Maxima,1.5 V AT,Sedan,Automatic,Petrol,7,1,Grey,5,9.4,"35,000",1139496,379950,66.7
FordPinto2.0 G4,Ford,Pinto,2.0 G4,MUV,Manual,diesel,12,1,White,6.8,4.4,"73,000",1039684,449060,56.8
MitsubishiChallenger 800STD,Mitsubishi,Challenger 800,STD,Hatchback,Manual,Petrol,3,1,Silver,5,9.9,"57,000",312467,121440,61.1
MitsubishiChallengerLX,Mitsubishi,Challenger,LX,Hatchback,Manual,Petrol,11,1,Silver,6.8,4.6,"40,000",336331,154000,54.2
MitsubishiPajeroZxi1.3,Mitsubishi,Pajero,Zxi1.3,Hatchback,Manual,Petrol,10,3,Silver,4.5,7,"40,200",640982,229008,64.3
MitsubishiEclipse 1.0LXi CNG,Mitsubishi,Eclipse 1.0,LXi CNG,Hatchback,Manual,Petrol + CNG,4,1,Other,5.5,5.1,"19,208",533447,333750,37.4
MitsubishiChallengerLXi BS-III,Mitsubishi,Challenger,LXi BS-III,Hatchback,Manual,Petrol,10,1,Grey,6.8,7,"33,000",342090,114400,66.6
NissanTerrano3.0 V6 AT,Nissan,Terrano,3.0 V6 AT,Sedan,Automatic,Petrol,11,1,White,5,9.1,"88,000",2185146,265200,87.9
MazdaRX20Laputa 1.2 (O),Mazda,RX20,Laputa 1.2 (O),Hatchback,Manual,Petrol,6,1,Blue,6.7,4.6,"13,200",608104,450000,26
MitsubishiPajero FocusLDi,Mitsubishi,Pajero Focus,LDi,Sedan,Manual,Diesel,9,1,White,5,4,"62,194",768774,320886,58.3
MitsubishiPajeroZXi 1.2 BS-IV,Mitsubishi,Pajero,ZXi 1.2 BS-IV,Hatchback,Automatic,Petrol,8,1,Grey,6.8,4.2,"36,128",623636,384592,38.3
MazdaTitanFluidic 1.6 CRDi SX,Mazda,Titan,Fluidic 1.6 CRDi SX,Sedan,Manual,Diesel,3,1,Black,9.8,7.4,"58,500",1217935,926550,23.9
MitsubishiSx4VXi,Mitsubishi,Sx4,VXi,Sedan,Manual,Petrol,8,1,Beige,4.8,7.5,"81,000",750204,219912,70.7
MazdaRX10Triton 1.2,Mazda,RX10,Triton 1.2,Hatchback,Manual,Petrol,3,1,Red,5,4.2,"15,004",482567,347568,28
FordMustang Altis1.8 G,Ford,Mustang Altis,1.8 G,Sedan,Manual,Petrol,9,1,Red,3.8,9.9,"1,07,494",1525510,379950,75.1
MazdaTitanFluidic1.6S(o)At,Mazda,Titan,Fluidic1.6S(o)At,Sedan,Automatic,Petrol,7,1,White,4.8,6.6,"77,000",1478299,473550,68
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,11,1,White,6.8,9.6,"10,000",837628,198000,76.4
MitsubishiEclipseVXI,Mitsubishi,Eclipse,VXI,Hatchback,Manual,Petrol,8,1,Brown,6.2,4.6,"41,442",505259,189200,62.6
FordPinto2.5 EV PS 7 STR,Ford,Pinto,2.5 EV PS 7 STR,MUV,Manual,Diesel,7,2,Silver,4.6,8,"85,000",1072878,714550,33.4
FordMustang Altis1.8 G,Ford,Mustang Altis,1.8 G,Sedan,Manual,Petrol,10,2,White,3.8,8.6,"1,27,000",1525510,310800,79.6
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,10,1,Silver,4.5,9.9,"65,000",837628,198000,76.4
MazdaTitanFluidic 1.4 VTVT,Mazda,Titan,Fluidic 1.4 VTVT,Sedan,Manual,Petrol,7,2,Beige,6.8,6.8,"39,533",833881,440608,47.2
MitsubishiSx4ZxiLeather,Mitsubishi,Sx4,ZxiLeather,Sedan,Manual,Petrol,11,3,Grey,6.8,6,"64,000",698267,184800,73.5
FordFortuner3.0 4x2 AT,Ford,Fortuner,3.0 4x2 AT,SUV,Automatic,Diesel,6,3,White,7.7,4.7,"1,62,282",3133263,1377500,56
MitsubishiEstiloVXi,Mitsubishi,Estilo,VXi,Hatchback,Manual,Petrol,11,2,White,5,9.4,"64,000",424393,83600,80.3
NissanKicks1.8V MT,Nissan,Kicks,1.8V MT,Sedan,Manual,Petrol,8,1,Silver,4.8,9.4,"74,000",1585200,287950,81.8
MitsubishiPajeroVDi,Mitsubishi,Pajero,VDi,Hatchback,Automatic,diesel,10,1,Red,6.8,6,"58,519",806541,297078,63.2
FordPinto2.5 V 8 STR,Ford,Pinto,2.5 V 8 STR,MUV,Manual,Diesel,9,1,Grey,5,6,"45,000",1322223,814195,38.4
MitsubishiPajeroLxi1.3,Mitsubishi,Pajero,Lxi1.3,Hatchback,Manual,Petrol,11,1,Blue,6.8,7.2,"45,000",464829,184800,60.2
FordEdgeV,Ford,Edge,V,Sedan,Manual,Petrol,8,1,other,6.8,7.8,"43,278",781928,310800,60.3
MitsubishiSx4VXi,Mitsubishi,Sx4,VXi,Sedan,Manual,Petrol,11,1,Golden,4.5,8.9,"62,000",750204,149600,80.1
FordPinto2.5G,Ford,Pinto,2.5G,MUV,Manual,Diesel,9,1,Silver,3.3,9,"2,45,000",1585233,665550,58
FordPinto2.5V,Ford,Pinto,2.5V,MUV,Manual,diesel,6,1,Grey,3.3,6.2,"1,19,000",1133338,989100,12.7
MitsubishiCrossLxi BS-IV,Mitsubishi,Cross,Lxi BS-IV,Hatchback,Manual,Petrol,2,1,Brown,3.3,6.7,"39,000",499579,370678,25.8
NissanKicks1.8S MT,Nissan,Kicks,1.8S MT,Sedan,Manual,Petrol,11,3,Grey,9,7.6,"79,000",1464334,226304,84.5
FordPinto2.5 G 8 STR BS-III,Ford,Pinto,2.5 G 8 STR BS-III,MUV,Manual,diesel,6,1,other,5.4,5.2,"65,432",1465683,1053229,28.1
NissanMaximaVCvtI-vtec,Nissan,Maxima,VCvtI-vtec,Sedan,Automatic,Petrol,2,1,White,4.6,9.4,"25,987",1363225,894262,34.4
MazdaClass RX20G5 1.2,Mazda,Class RX20,G5 1.2,Hatchback,Manual,Petrol,2,1,Silver,7.9,7.7,"14,000",822103,592800,27.9
MitsubishiEclipseLXi Minor,Mitsubishi,Eclipse,LXi Minor,Hatchback,Manual,Petrol,12,2,White,6.8,5.6,"54,000",412035,132000,68
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,12,1,White,9.6,8.9,"64,223",837628,162800,80.6
FordMustang Altis1.8v,Ford,Mustang Altis,1.8v,Sedan,Automatic,Petrol,9,1,Golden,5,6.1,"40,000",1767000,398542,77.4
MazdaDemioEra +,Mazda,Demio,Era +,Hatchback,Manual,Petrol,4,1,White,6.4,3.4,"20,500",442461,287950,34.9
MitsubishiEclipseLxiBs-iv,Mitsubishi,Eclipse,LxiBs-iv,Hatchback,Manual,Petrol,8,1,Blue,4.5,4.2,"21,023",476354,247072,48.1
MitsubishiPajero FocusZXi,Mitsubishi,Pajero Focus,ZXi,Sedan,Automatic,Petrol,7,1,White,5.7,3.8,"74,092",812098,389238,52.1
MitsubishiPajeroVDi,Mitsubishi,Pajero,VDi,Hatchback,Manual,Diesel,11,2,Grey,5,4.2,"80,000",806541,220000,72.7
MazdaAccioS 1.2 (O),Mazda,Accio,S 1.2 (O),Sedan,Manual,Petrol,4,1,Silver,4.5,4.9,"9,900",685332,465060,32.1
MitsubishiEclipse 1.0LXi CNG,Mitsubishi,Eclipse 1.0,LXi CNG,Hatchback,Manual,Petrol + CNG,6,1,Grey,8.5,5.6,"45,282",533447,257034,51.8
FordMustangH1 1.8J,Ford,Mustang,H1 1.8J,Sedan,Manual,Petrol,10,1,Black,6.4,9,"69,945",1194492,260662,78.2
NissanTerrano2.4 AT,Nissan,Terrano,2.4 AT,Sedan,Automatic,Petrol,9,1,Black,4.5,9.9,"64,000",2426682,375312,84.5
MitsubishiCrossLxi BS-IV,Mitsubishi,Cross,Lxi BS-IV,Hatchback,Manual,Petrol + CNG,2,1,White,9.8,9.9,"43,000",499579,329152,34.1
MazdaRunner1.6 SX AT,Mazda,Runner,1.6 SX AT,Sedan,Automatic,Diesel,5,2,White,5.2,9.1,"48,000",2228367,889200,60.1
MazdaSpeed GLS,Mazda,Speed ,GLS,Hatchback,Manual,Petrol,7,1,Silver,4.5,5.9,"45,000",457174,198000,56.7
FordEdgeGSp,Ford,Edge,GSp,Sedan,Manual,Petrol,7,1,Silver,4.8,8,"60,000",747677,256128,65.7
MitsubishiEclipseLXI,Mitsubishi,Eclipse,LXI,Hatchback,Manual,Petrol,7,1,other,6.8,7.4,"25,043",475198,229008,51.8
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,12,1,Red,6.8,7.2,"10,234",563323,175120,68.9
FordPinto2.5 G1,Ford,Pinto,2.5 G1,MUV,Manual,Diesel,8,1,White,4.8,9.4,"75,000",1133338,651903,42.5
MitsubishiPajeroZDi,Mitsubishi,Pajero,ZDi,Hatchback,Manual,Diesel,4,1,White,4.2,7.7,"74,000",879273,501942,42.9
MitsubishiEclipseLXI,Mitsubishi,Eclipse,LXI,Hatchback,Manual,Petrol,8,1,Blue,4,4.2,"78,000",475198,220000,53.7
MitsubishiChallengerLXi BS-IV,Mitsubishi,Challenger,LXi BS-IV,Hatchback,Manual,Petrol,6,1,White,4.6,7.3,"96,000",342090,140800,58.8
MitsubishiEclipseAxBs-ii,Mitsubishi,Eclipse,AxBs-ii,Hatchback,Manual,Petrol,12,2,Black,6.8,9.9,"41,022",379234,110000,71
NissanMaximaI-vtec,Nissan,Maxima,I-vtec,Hatchback,Manual,Petrol,7,1,Silver,4.5,5.6,"21,212",1004692,473550,52.9
NissanTerrano2.4 AT,Nissan,Terrano,2.4 AT,Sedan,Automatic,Petrol,8,1,White,6.1,9.9,"71,000",2426682,616950,74.6
MazdaDemioTriton +,Mazda,Demio,Triton +,Hatchback,Manual,Petrol,8,1,Silver,6.8,4.4,"16,312",478636,260662,45.5
NissanKicks1.8V,Nissan,Kicks,1.8V,Sedan,Manual,Petrol,12,3,Blue,5,9.9,"74,000",1464334,211200,85.6
NissanKicks1.8V MT,Nissan,Kicks,1.8V MT,Sedan,Manual,Petrol,9,1,Black,5,9.4,"69,000",1585200,242550,84.7
MitsubishiPajero FocusLXi,Mitsubishi,Pajero Focus,LXi,Sedan,Manual,Petrol,9,1,Black,5,8.8,"68,000",641315,189200,70.5
MazdaGrand RX10Laputa 1.2 Grind VTVT,Mazda,Grand RX10,Laputa 1.2 Grind VTVT,Hatchback,Manual,Petrol,3,1,Grey,9.2,5.6,"6,000",647262,426550,34.1
NissanKicks1.8S MT,Nissan,Kicks,1.8S MT,Sedan,Automatic,Petrol,11,1,Silver,9.9,7.3,"51,000",1464334,225403,84.6
FordPinto2.0 V,Ford,Pinto,2.0 V,MUV,Manual,diesel,5,1,Grey,6.3,4.2,"35,000",1243320,1137600,8.5
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,12,1,Red,4.5,7.4,"61,000",563323,162800,71.1
FordMustangG,Ford,Mustang,G,Sedan,Manual,Petrol,11,2,White,4.3,8,"92,846",1618572,265200,83.6
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,10,1,White,6.8,5,"61,000",944779,563952,40.3
MitsubishiEclipseLXI,Mitsubishi,Eclipse,LXI,Hatchback,Manual,Petrol,7,3,Grey,5.4,3.4,"85,903",475198,352182,25.9
MazdaRX10Laputa 1.2 AT Grind2,Mazda,RX10,Laputa 1.2 AT Grind2,Hatchback,Automatic,Petrol,5,1,Grey,5,9.4,"26,000",610408,287950,52.8
FordPinto2.0G,Ford,Pinto,2.0G,MUV,Manual,diesel,10,1,other,6.4,4.6,"70,000",1173645,592800,49.5
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,10,1,Silver,6.8,6,"50,000",585070,233518,60.1
NissanMaximaVI-vtec,Nissan,Maxima,VI-vtec,Sedan,Manual,Petrol,9,1,Grey,4.5,9.9,"54,000",1162170,324558,72.1
MazdaClass RX20G5 1.4 CRDI,Mazda,Class RX20,G5 1.4 CRDI,Hatchback,Manual,Diesel,3,1,Blue,4.8,8.6,"32,000",981173,616950,37.1
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,9,2,White,4.9,9.4,"68,000",944779,220000,76.7
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Manual,Petrol,6,1,Silver,4.5,4.7,"27,118",741508,403200,45.6
MazdaAtenzaGLS,Mazda,Atenza,GLS,Sedan,Manual,Petrol,10,1,Golden,6.8,5,"35,886",691111,184800,73.3
MitsubishiCelerioVxi CNG,Mitsubishi,Celerio,Vxi CNG,Hatchback,Manual,Petrol + CNG,4,1,Silver,4.8,5.6,"38,000",586949,310800,47
MazdaClass RX20Laputa 1.2 (O),Mazda,Class RX20,Laputa 1.2 (O),Hatchback,Manual,Petrol,4,1,Red,3.8,6.7,"36,813",779764,520950,33.2
NissanMicra1.2 VX  (O)  i-VTEC,Nissan,Micra,1.2 VX  (O)  i-VTEC,Sedan,Manual,Petrol,3,1,Brown,8.5,6.5,"14,000",853837,542219,36.5
MitsubishiEclipseLXI,Mitsubishi,Eclipse,LXI,Hatchback,Manual,Petrol,10,2,Blue,4.5,5.4,"42,000",475198,158400,66.7
FordPinto2.5 V 7 STR,Ford,Pinto,2.5 V 7 STR,MUV,Manual,Diesel,12,2,Black,4.5,9.9,"80,100",1317441,347568,73.6
MazdaTitan1.6 VTVT SX,Mazda,Titan,1.6 VTVT SX,Sedan,Manual,Petrol,7,1,Other,8.3,6.5,"74,365",1135123,449060,60.4
MazdaGrand RX10G5 1.2 Grind VTVT (O),Mazda,Grand RX10,G5 1.2 Grind VTVT (O),Hatchback,Manual,Petrol,3,1,White,9.9,8.2,"8,000",702545,459408,34.6
MazdaNeo2 WD,Mazda,Neo,2 WD,SUV,Manual,diesel,7,1,White,3.5,5.4,"81,000",3156322,1211250,61.6
MazdaTitan1.6Sx,Mazda,Titan,1.6Sx,Sedan,Manual,Petrol,11,1,Red,4.3,9.9,"83,500",1197165,154000,87.1
FordFortuner3.0LimitedEdition,Ford,Fortuner,3.0LimitedEdition,SUV,Manual,Diesel,8,3,Grey,3.8,9.9,"97,000",3218182,890212,72.3
MitsubishiEstiloVXi,Mitsubishi,Estilo,VXi,Hatchback,Manual,Petrol,11,2,Silver,4.5,9.9,"76,575",424393,85800,79.8
MitsubishiEclipseVXI,Mitsubishi,Eclipse,VXI,Hatchback,Manual,Petrol,7,1,Blue,6.7,5.8,"44,100",505259,251598,50.2
NissanBirdVCvtI-vtec,Nissan,Bird,VCvtI-vtec,MUV,Manual,Petrol,1,1,Black,4.6,4.7,"12,149",975803,813750,16.6
MazdaTitanXi,Mazda,Titan,Xi,Sedan,Manual,Petrol,11,1,Blue,4.5,4.2,"60,000",751422,254316,66.2
NissanMaxima1.5 V AT,Nissan,Maxima,1.5 V AT,Sedan,Automatic,Petrol,8,1,Grey,5,9.4,"58,000",1139496,333750,70.7
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Manual,Diesel,3,1,Grey,4.4,6.6,"51,546",870791,543844,37.5
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Manual,Diesel,7,1,White,4.6,4,"91,879",870791,417198,52.1
MazdaRX20Laputa 1.4 CRDI,Mazda,RX20,Laputa 1.4 CRDI,Hatchback,Manual,diesel,6,1,White,6.4,6.6,"37,500",840488,497200,40.8
MitsubishiChallenger 800LXI,Mitsubishi,Challenger 800,LXI,Hatchback,Manual,CNG,6,1,other,5.7,5,"52,000",375111,251598,32.9
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Automatic,diesel,3,1,other,5,9.9,"97,654",870791,356800,59
NissanMaximaVxAt,Nissan,Maxima,VxAt,Hatchback,Automatic,Petrol,3,1,White,8.3,5.8,"28,000",1394604,1028524,26.2
MazdaTitanFluidic 1.6 VTVT SX Opt,Mazda,Titan,Fluidic 1.6 VTVT SX Opt,Sedan,Manual,Petrol,6,1,Purple,4.8,9.4,"51,000",1157910,421872,63.6
MitsubishiPajeroVXi 1.2 BS-IV,Mitsubishi,Pajero,VXi 1.2 BS-IV,Hatchback,Manual,Petrol,12,2,White,4.9,8.1,"82,000",536698,149600,72.1
MitsubishiCrossVdi BS-IV,Mitsubishi,Cross,Vdi BS-IV,Hatchback,Automatic,diesel,7,1,Silver,5,4.2,"1,12,627",651184,403200,38.1
MazdaRX10Laputa 1.2,Mazda,RX10,Laputa 1.2,Hatchback,Manual,Petrol,9,1,Golden,6.4,6,"57,000",537850,233518,56.6
MazdaSpeed GL,Mazda,Speed ,GL,Hatchback,Manual,Petrol,7,1,Grey,6,5.6,"60,001",404202,198000,51
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,8,1,Grey,6.1,6.4,"70,000",585070,269742,53.9
FordPinto2.5G4,Ford,Pinto,2.5G4,MUV,Manual,Diesel,12,1,Silver,9.5,4.4,"1,90,000",1120298,450000,59.8
MitsubishiPajeroVDi,Mitsubishi,Pajero,VDi,Hatchback,Automatic,diesel,10,1,Grey,5.5,9.6,"51,000",806541,247977,69.3
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,7,2,White,9.9,8.2,"38,482",585070,278838,52.3
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,11,1,Silver,4,9.9,"1,52,000",563323,162800,71.1
MazdaRX101.2 L Grind Triton Special Edition,Mazda,RX10,1.2 L Grind Triton Special Edition,Hatchback,Manual,Petrol,8,1,Red,8.5,7.7,"34,000",527484,224502,57.4
MitsubishiPajeroVXi,Mitsubishi,Pajero,VXi,Hatchback,Manual,Petrol,5,1,Silver,5,6.1,"24,500",507718,366974,27.7
NissanMaxima1.5 V MT Sunroof,Nissan,Maxima,1.5 V MT Sunroof,Sedan,Manual,Petrol,5,2,White,9.9,8.9,"46,000",1149866,612112,46.8
MazdaSpeed Xl,Mazda,Speed ,Xl,Hatchback,Manual,cng,12,1,Blue,7,3.8,"38,000",432991,145200,66.5
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,10,1,Grey,5,9.1,"65,000",837628,176000,79
MitsubishiPajero FocusLXi,Mitsubishi,Pajero Focus,LXi,Sedan,Manual,Petrol,10,1,Grey,4.8,4.4,"97,000",641315,265200,58.6
NissanMaxima Zx1.5GxiCvt,Nissan,Maxima Zx,1.5GxiCvt,MUV,Automatic,Petrol,12,2,Beige,4.9,9.4,"74,000",838780,105600,87.4
NissanMaximaS,Nissan,Maxima,S,Sedan,Manual,Petrol,9,1,Maroon,7,4.2,"40,000",1036953,431232,58.4
FordPinto2.5 GX 7 STR BS-IV,Ford,Pinto,2.5 GX 7 STR BS-IV,MUV,Manual,Diesel,4,1,Silver,3.3,8.4,"98,219",1305486,1087900,16.7
MazdaGrand RX10G5 AT 1.2 Grind VTVT,Mazda,Grand RX10,G5 AT 1.2 Grind VTVT,Hatchback,Automatic,Petrol,3,1,White,5,4,"8,000",731337,578358,20.9
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,5,1,White,4.8,6.3,"45,000",585070,342958,41.4
MazdaRX20G5 1.2,Mazda,RX20,G5 1.2,Hatchback,Manual,Petrol,8,1,White,6.8,7,"47,000",738248,352182,52.3
FordPinto2.5 G4 7 STR,Ford,Pinto,2.5 G4 7 STR,MUV,Manual,Diesel,9,2,Blue,9.9,9.9,"76,000",1115556,543844,51.2
MazdaRX10G5 1.2 Grind2,Mazda,RX10,G5 1.2 Grind2,Hatchback,Manual,Petrol,6,1,Silver,4,4.8,"60,000",631138,347568,44.9
MazdaRX10Triton 1.2 Grind2,Mazda,RX10,Triton 1.2 Grind2,Hatchback,Manual,Petrol,3,1,Grey,5,9.4,"8,002",510209,370678,27.3
NissanKicks1.8S MT,Nissan,Kicks,1.8S MT,Sedan,Manual,Petrol,9,3,Grey,6.4,9.9,"70,000",1464334,224502,84.7
MitsubishiPajero FocusZDi BS-IV,Mitsubishi,Pajero Focus,ZDi BS-IV,Sedan,Manual,diesel,8,1,Black,6.4,9.8,"50,000",882851,389238,55.9
MazdaRX10G51.2At,Mazda,RX10,G51.2At,Hatchback,Automatic,Petrol,9,1,Black,5,7.5,"32,000",601408,185680,69.1
MitsubishiEclipseLXI,Mitsubishi,Eclipse,LXI,Hatchback,Manual,Petrol,10,1,Blue,6.8,5.6,"54,344",475198,154000,67.6
MitsubishiChallengerLXi BS-III,Mitsubishi,Challenger,LXi BS-III,Hatchback,Manual,Petrol,11,1,White,6.8,5.2,"61,650",342090,162800,52.4
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,7,1,White,4.3,4.6,"62,547",585070,315382,46.1
MazdaRX10Triton 1.2 AT,Mazda,RX10,Triton 1.2 AT,Hatchback,Automatic,Petrol,8,3,Grey,4.5,5.7,"47,391",527484,275198,47.8
MitsubishiPajeroVDi,Mitsubishi,Pajero,VDi,Hatchback,Manual,diesel,10,1,Red,6.7,6,"65,000",806541,297078,63.2
MitsubishiChallenger K10VXi,Mitsubishi,Challenger K10,VXi,Hatchback,Manual,Petrol,5,1,Red,5,6,"27,000",436340,220000,49.6
MazdaRX10G51.2AtGrind2,Mazda,RX10,G51.2AtGrind2,Hatchback,Automatic,Petrol,7,1,Grey,4.3,7.8,"50,200",712790,352182,50.6
MazdaRX10Laputa 1.2 Grind2,Mazda,RX10,Laputa 1.2 Grind2,Hatchback,Manual,Petrol,7,1,White,6.4,5.8,"45,000",544760,297078,45.5
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,8,1,Grey,4.3,6.7,"61,000",944779,403200,57.3
MitsubishiPajeroZDi,Mitsubishi,Pajero,ZDi,Hatchback,Manual,diesel,7,1,Black,4.8,8,"69,000",879273,357724,59.3
NissanMaximaVX (O) MT,Nissan,Maxima,VX (O) MT,Sedan,Manual,Petrol,3,1,Brown,8.5,9,"22,888",1331847,833782,37.4
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,12,1,Red,5.5,7.6,"59,000",837628,215600,74.3
MazdaTitan1.6 CRDI EX,Mazda,Titan,1.6 CRDI EX,Sedan,Manual,Diesel,6,1,Purple,4.3,4.8,"50,000",1241250,511438,58.8
NissanTerrano2.4 VTi-L AT,Nissan,Terrano,2.4 VTi-L AT,Sedan,Automatic,Petrol,10,1,Black,9.9,5.4,"45,666",1971286,497200,74.8
NissanKicks1.8V AT,Nissan,Kicks,1.8V AT,Sedan,Automatic,Petrol,6,1,Grey,4.3,9.9,"42,200",1675849,591836,64.7
NissanTerrano2.4 VTi-L MT,Nissan,Terrano,2.4 VTi-L MT,Sedan,Manual,CNG,11,1,Silver,4.5,9.9,"75,000",1883226,311716,83.4
FordPinto2.5 G4 8 STR,Ford,Pinto,2.5 G4 8 STR,MUV,Manual,Diesel,10,2,White,4.4,4.2,"1,80,000",1120298,540022,51.8
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,4,1,White,5,7,"30,000",585070,356800,39
NissanKicks1.8Mt,Nissan,Kicks,1.8Mt,Hatchback,Manual,Petrol,11,1,Silver,9.9,7.9,"58,000",1402739,233518,83.4
MitsubishiEclipseVXI,Mitsubishi,Eclipse,VXI,Hatchback,Manual,Petrol,7,1,Silver,4,8,"72,000",505259,199760,60.5
MitsubishiPajeroZXi 1.2 BS-IV,Mitsubishi,Pajero,ZXi 1.2 BS-IV,Hatchback,Manual,Petrol,3,1,Red,9.5,7.1,"29,000",623636,464118,25.6
NissanMaxima1.5 V MT,Nissan,Maxima,1.5 V MT,Sedan,Manual,Petrol,8,1,Beige,7,5.8,"45,000",996627,460350,53.8
NissanTerrano2.4 VTi-L MT,Nissan,Terrano,2.4 VTi-L MT,Sedan,Manual,Petrol,11,2,Silver,4.3,9.9,"85,000",1883226,242550,87.1
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Automatic,diesel,8,1,other,6.4,6.8,"55,000",870791,379950,56.4
MitsubishiEclipseLXI,Mitsubishi,Eclipse,LXI,Hatchback,Manual,Petrol,11,1,White,6.8,5.6,"56,000",475198,158400,66.7
MazdaDemioTriton,Mazda,Demio,Triton,Hatchback,Manual,Petrol,7,1,other,6.8,6,"29,449",388154,229008,41
MazdaRX10Laputa 1.2 AT,Mazda,RX10,Laputa 1.2 AT,Hatchback,Automatic,Petrol,9,1,Red,8.5,6.7,"47,000",581615,223601,61.6
MitsubishiPajero FocusVDi BS-IV,Mitsubishi,Pajero Focus,VDi BS-IV,Sedan,Manual,Diesel,6,1,White,5,4,"39,129",783061,473550,39.5
MazdaGrand RX10Triton AT 1.2 Grind VTVT,Mazda,Grand RX10,Triton AT 1.2 Grind VTVT,Hatchback,Automatic,Petrol,1,1,Stardust,5,5,"4,418",726046,568750,21.7
NissanMaxima ZxEXi,Nissan,Maxima Zx,EXi,Sedan,Manual,Petrol,11,2,Golden,4.5,8.5,"70,000",771954,167200,78.3
MazdaRX10Triton,Mazda,RX10,Triton,Hatchback,Manual,Petrol,8,2,Golden,5,9.1,"44,000",462988,167200,63.9
MitsubishiCiazZXi,Mitsubishi,Ciaz,ZXi,Sedan,Manual,Petrol,3,1,White,3.3,7.4,"37,606",1014512,763950,24.7
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,12,1,Golden,6.8,8,"75,000",837628,176000,79
FordPinto2.5Vx,Ford,Pinto,2.5Vx,MUV,Manual,Diesel,6,1,Silver,3.8,4.6,"67,000",1923560,1013725,47.3
FordFortuner3.0 4x2 AT,Ford,Fortuner,3.0 4x2 AT,SUV,Automatic,Diesel,4,1,White,4,8.2,"34,500",3133263,2018750,35.6
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,11,2,White,6.8,8.8,"43,817",563323,189200,66.4
